"epaRegion","state","epaSampID","amtMERC","amtPCB","amtPFA","species","feeder"
8,"ND",109013,312,0.0143,0.326,"Common carp","BD"
8,"ND",103473,124,0.0329,0.115,"White sucker","BD"
8,"ND",126353,320,0.0161,0.284,"Northern pike","P"
8,"ND",133493,199,0.0381,0,"Channel catfish","BD"
8,"ND",126693,108,0.232,0.241,"Channel catfish","BD"
7,"NE",883613,239,0.513,0.354,"Channel catfish","BD"
7,"NE",883533,76,0.0622,0.199,"Common carp","BD"
7,"NE",897713,178,0.32,0.581,"Channel catfish","BD"
7,"NE",897693,116,0.0383,0,"Channel catfish","BD"
7,"NE",897393,178,0.0232,0.29,"Freshwater drum","P"
1,"NH",890373,417,0.17,0.322,"Smallmouth bass","P"
1,"NH",899513,327,0.082,0.152,"Yellow perch","P"
1,"NH",899533,292,2.58,0.673,"Largemouth bass","P"
1,"NH",100953,114,0.491,0.172,"Round whitefish","P"
1,"NH",899473,409,0.134,0.414,"Largemouth bass","P"
1,"NH",102613,187,0.0304,0.162,"Smallmouth bass","P"
1,"NH",102653,451,0.0364,0.758,"Black crappie","P"
1,"NH",100593,179,0.22,0.335,"Black crappie","P"
2,"NJ",101773,490,0.0923,0.359,"Rock bass","P"
2,"NJ",890873,260,7.46,1.29,"White sucker","BD"
2,"NJ",128993,152,0.229,0,"Brown bullhead","BD"
2,"NJ",129073,58.7,1.9,0.367,"Channel catfish","BD"
2,"NJ",137153,231,2.02,0.268,"Channel catfish","BD"
2,"NY",125993,403,0.327,0.331,"Rock bass","P"
2,"NY",123293,132,0.188,0.281,"Smallmouth bass","P"
2,"NY",897053,570,0.343,0.416,"Smallmouth bass","P"
2,"NY",891693,379,0.205,0.44,"Walleye","P"
2,"NY",129453,219,0.103,0.224,"Smallmouth bass","P"
2,"NY",897033,431,0.271,0.411,"Smallmouth bass","P"
2,"NY",108113,366,0.068,0.535,"Largemouth bass","P"
2,"NY",897753,234,0.309,0.232,"Smallmouth bass","P"
2,"NY",105793,241,2.13,0.546,"White sucker","BD"
5,"OH",108333,77.6,18.6,0.783,"Channel catfish","BD"
5,"OH",104033,83,1.07,0.7,"Channel catfish","BD"
5,"OH",898273,164,12.1,0.203,"Channel catfish","BD"
5,"OH",898233,402,0.13,1.16,"Walleye","P"
5,"OH",117753,95.2,0.0258,0,"Common carp","BD"
5,"OH",889813,210,0.32,1.89,"Smallmouth bass","P"
5,"OH",889713,144,0.073,1.21,"White crappie","P"
5,"OH",889673,79.3,7.91,0.247,"Channel catfish","BD"
5,"OH",898253,90.3,4.05,1.19,"Channel catfish","BD"
6,"OK",893353,86.2,0.0722,0.388,"Blue catfish","BD"
6,"OK",893373,151,0.0516,0.449,"Flathead catfish","BD"
6,"OK",121713,221,0.524,0.519,"Blue catfish","BD"
6,"OK",892593,244,0.00894,0.156,"White crappie","P"
6,"OK",893333,381,0.265,0.36,"Blue catfish","BD"
6,"OK",121593,124,0.107,0.494,"Channel catfish","BD"
6,"OK",892733,89.8,0.0354,0.266,"Channel catfish","BD"
6,"OK",893293,117,0.0462,0.296,"Channel catfish","BD"
