"epaRegion","state","species","lMerc","lPCB","feeder"
6,"LA","Channel catfish",3.52929738428947,-0.356674943938732,"BD"
6,"LA","Blue catfish",5.18178355029209,-0.460449416440924,"BD"
6,"LA","Flathead catfish",4.3907385752759,-0.928869514081015,"BD"
1,"MA","Largemouth bass",6.05443934626937,-0.862749964946125,"P"
1,"MA","Smallmouth bass",5.95064255258773,-1.1551826401565,"P"
1,"MA","Smallmouth bass",6.17170059741091,-2.07944154167984,"P"
1,"MA","Smallmouth bass",6.59714570188665,-0.834710744881732,"P"
1,"MA","Bluegill",4.49088103958596,-0.802962046567152,"P"
3,"MD","Channel catfish",5.56452040732269,0.165514438477573,"BD"
3,"MD","Channel catfish",4.80402104473326,-1.67664666212755,"BD"
3,"MD","Rainbow trout",2.24070968927596,-1.58963528513792,"P"
3,"MD","Smallmouth bass",5.8406416573734,-1.02165124753198,"P"
3,"MD","Channel catfish",4.36309862478836,-0.697155201957484,"BD"
3,"MD","Largemouth bass",4.4320065669789,-0.778705068921592,"P"
1,"ME","Smallmouth bass",5.4249500174814,0.0582689081239758,"P"
1,"ME","Smallmouth bass",6.36818718635049,-4.99083266680008,"P"
1,"ME","Yellow perch",5.46383180502561,-2.7015712350045,"P"
1,"ME","Smallmouth bass",5.44241771052179,-2.65498348016552,"P"
1,"ME","Smallmouth bass",6.14203740558736,-3.70095203534821,"P"
1,"ME","Yellow perch",5.35185813347607,-3.13269812862715,"P"
1,"ME","Smallmouth bass",5.99893656194668,-1.90380897303668,"P"
1,"ME","Smallmouth bass",6.32076829425058,-2.2730262907525,"P"
1,"ME","Yellow perch",5.37063802812766,-4.43121687886465,"P"
1,"ME","Largemouth bass",5.29330482472449,-3.71317214668298,"P"
5,"MI","Rock bass",4.91265488573605,-3.09224317393483,"P"
5,"MI","Largemouth bass",6.60123011872888,-1.23100147671386,"P"
5,"MI","Northern pike",6.7093043402583,-2.9224818118144,"P"
5,"MI","Smallmouth bass",6.39692965521615,-0.0855578883616465,"P"
5,"MI","Walleye",6.13122648948314,-0.525939261576039,"P"
5,"MI","Smallmouth bass",6.08677472691231,-0.123298216344494,"P"
5,"MI","Channel catfish",4.21064501791826,0.553885113226438,"BD"
5,"MI","Yellow perch",5.01063529409626,-1.91054300521802,"P"
5,"MI","Smallmouth bass",5.80814248998044,-0.00501254182354429,"P"
5,"MN","Channel catfish",5.19295685089021,-1.99510039324608,"BD"
5,"MN","Walleye",5.12989871492307,-4.0570487774784,"P"
5,"MN","Channel catfish",4.94875989037817,-2.13707065451647,"BD"
5,"MN","Rock bass",5.65599181081985,-3.53016776295912,"P"
5,"MN","Smallmouth bass",5.01727983681492,-1.72036947314138,"P"
5,"MN","Smallmouth bass",5.77144112313002,-3.12356564506388,"P"
5,"MN","Northern pike",5.2040066870768,-4.31250057202527,"P"
5,"MN","Walleye",5.25227342804663,-4.0285568216841,"P"
